start	end	text
0	4240	今天主要讲一下那个Pro-X
4240	5320	Pro-X的话
5320	7240	它其实是一个
7240	11300	可以看成是这个X的一个高级版
11300	13240	它有一些很多一些功能
13240	17100	但如果你连这个X都没有搞清楚
17100	19440	我建议你不要去使用Pro-X
19440	20960	因为它比较就是
20960	23280	有更定制化吧
23280	24040	更自定义
24040	26080	但它的功能是会更强的
26080	27000	那从哪里进
27000	30200	其实你只要开了Pro-X会员
30200	32760	它有一个XPro点击进去
32760	35520	那其实就是分为这样的一个情况
35520	37800	它分为左边中间
37800	39020	右边的话
39020	41660	其实它差不多是一个多列式图
41660	44280	然后这边是怎么出来的呢
44280	45680	其实有很多方式
45680	49180	你只要点一下这个AddColumn
49180	52680	你这些也就是以Home Timeline
52680	56980	然后List这些都可以弄成一个List
56980	58740	也就是你的多列式图
58740	60820	都可以弄成一个
60820	62740	那这个Home
62740	64940	其实就是你的那个推荐
64940	68400	推荐的那个两个最主要的推荐流
68400	69180	Feed流
69180	71100	一个是给你推荐的
71100	72640	一个是关注用户
72640	73980	我可以把这个删掉写
73980	74900	咱们来试一下
74900	75980	一个是Home的
75980	78080	那其实你在这里可以刷到
78080	80220	这是给你推荐的信息流
80220	80660	Feed流
80660	83820	这是你关注的博主的信息流
83820	85580	然后我们讲解第二个
85580	86900	那这个是个List
86900	89460	也就是你关注你自己
89460	91500	你自己找的别人的
91500	93380	然后去订阅别人的List
93380	96240	或者你自己创建的一个List
96240	98080	那我创建了一个
98080	100540	Jason Zhu AI Bloggers List
100540	102640	那这个List你也可以去把它
102640	104580	作为单独的一列呈现
104580	106680	这些就是我关注的一个List
106680	109240	一些英文博主的AI List
109240	111020	那还有一个是社区
111020	113620	那比如说你关注了这么多社区
113620	115700	第一个是我自己创建的一个社区
115700	118000	那还有中文社区的话
118000	119120	还有一些副业有道
119120	120840	它其实会员的
120840	123420	会员人数比较多吧
123420	126740	那还有一个是独立开发者
126740	127660	中文社区的话
127660	131040	还有一个是雨晨的一轮公司
131040	133740	基本上这三个是那个社区
133740	137400	然后你可以把某个社区的内容
137400	140820	作为你的一个单列的一个视图
140820	142240	你可以去自己去看
