start	end	text
0	9040	今天说一下做x增长最必要且后续可能是比较一个影响你的一个正反馈的一个速率的
9040	11820	比如说一些增长的一些效率的三件事情
11820	16060	我觉得第一件事情你是得做好一个状号装修
16060	18800	你可以去参考那个木质不写代码
18800	22300	就是因为你我这边可以展示一下
22300	25300	木质
25300	30700	你看他是有一个后面的一个背景墙
30700	33220	以及他的一个头像
33220	35220	那为什么一般的话
35220	38600	我比较是建议是以真人头像去出的
38600	40860	那因为他是之前做youtube
40860	43420	他的全网的头像都是这个
43420	45640	所以他会去做一些动漫的头像
45640	47380	那你的名字
47380	52460	我觉得是需要去取一些比较有让别人有记忆的点
52460	62460	对然后这里的bio你得去最好不要像小红书那样去有很多的一些小红书的表情
62460	64620	对这个你可以去参考一下
64620	65680	有很多的
65680	68240	那这是最重要的一个点
68240	78900	因为别人通过推文进来去看你的这些内容之后才会点这个follow的这样的一个点击
78900	82060	那还有第二点的话
82060	85260	是维护好你的关注人群
85260	88820	这个我不知道是不是群里的一个朋友
88820	91280	那其实这里就会有个问题
91280	92180	你的following
92180	93720	他是300多个
93720	96400	但是你的follows只有296个
96400	101220	你的推文的推流的人群的初始人群
101220	103740	他是根据你的关注人数
103740	107200	他会去进行一个进行一个第一次推流
107200	108980	所以你的following
108980	113620	一定程度上不要大于你的follows
113620	115940	甚至他的比例不要太悬殊
115940	117880	比如说1比10
117880	119640	这样子
119640	122920	我觉得可能1比10
122920	123420	1比5
123420	125520	就不要造成什么
125520	127040	这里有一千多个
127040	128340	这里有两百多个
128340	131320	那别人天然认为你是来
131320	133220	x获取信息的
133220	135940	而不是做一个内容生产者
135940	139160	因为你的关注的人数足够多
139160	141780	但是你的粉丝足够低
141780	143600	别人就会有这个疑惑
143600	148020	那甚至别人可能以为你是互关上来的
148020	148940	对
148940	154340	我觉得这个会影响到你的内容的一个曝光
154340	158540	因为他是一个初始的那个粉丝圈的一个流量的曝光
158540	162500	所以这个可能是大家可能会比较忽略的
162500	166000	然后这个账号装修是也很有必要的
166000	168420	那第三个就是去开蓝V
168420	170840	你一定要开Premove以上的
170840	171860	不要去开Basic
171860	174520	那群里的你有微信
174520	177460	微信的这个是bbcr-set
177460	179960	他那边有一些赠送的渠道
179960	180920	他会比较便宜
180920	181520	对
181520	183520	这个我不敢保证
183520	185040	因为我还没有给他
185040	186460	从他这里买过
186460	189620	但你可以去看看他那边的价格怎么样
189620	190020	对
190020	193120	然后剩下的你就是多发
193120	198400	比如是用我们的Github的那个team的一个项目的一些
198400	200800	类似于Glock去采集乐点
200800	202720	然后进行一个自动划分发
202720	206320	那你发的多了自然会有爆款出现
206320	208120	因为你发的少了
208120	211760	你决定不了你的内容是否会爆
211760	213600	它是个概率问题
213600	215580	所以你只能多发初期
