start	end	text
0	2640	好了今天给大家分享一下
2640	4220	那个我看一下
4220	7280	主要是BogMac一个数千收藏夹
7280	9220	然后通过收藏推文
9220	13200	做我用Manus做的一个推文导出的一个工具
13200	14880	这个是完全免费的
14880	16340	然后我们再结合Glock
16340	17960	那可以基于收藏夹
17960	19720	我们去推文去筛选选题
19720	21160	以及自己的一些角度
21160	23840	那这个话我们来看一下
23840	26060	X的话宣传一下
26060	26880	稍微宣传一下
26880	29240	我这边是有一个社区
29240	32120	X上做了一个X增长与AI出海的
32120	34020	目前大概有143个人
34020	35140	大家可以去搜一下
35140	36940	我里面大概有分享了
36940	39780	一个是推特X功能的一面介绍
39780	41520	Xplot的界面介绍
41520	43920	以及List和Glock混合使用
43920	45160	去构建自己的信息源
45160	46500	今天是第四个
46500	48100	一个是收藏夹
48100	48980	以及推文
48980	51300	以及去筛选我们的选题
51300	53980	那在X页面上
53980	56060	我们有不同的收藏夹
56060	57440	这是我自己自定义的
57440	59120	你可以通过这些按钮
59120	60360	然后去自定义这个
60360	63740	然后你看到有趣的推文
63740	64940	你像黄总
64940	68800	这个发了一个skill的一个推文吧
68800	70440	那我们可以去把它收藏夹
70440	73480	那我比较喜欢把它放到编程工具
73480	75140	因为这个是Clock skills
75140	76220	然后我们去放
76220	77400	那这里的话
77400	79280	其实就是我们收藏的
79280	80540	然后是收藏夹的
80540	83340	收藏夹里面有各自的一些推文
83340	84940	这就是刚才收藏的那一篇
84940	87540	那我这边开发的工具
87540	90440	到时候也同步给大家放在评论区
90440	92460	我可以去点击这个同步
92460	94080	因为我之前同步过了
94080	94960	你看它自己的
94960	97920	它会其实是用你的token
97920	100020	也就是你的认证的东西
100020	101900	然后去登录这个东西
101900	103520	然后它去调API
103520	104500	然后去翻页
104500	107620	然后去获取你的推文数据
107620	109520	那这些都是它在同步
109520	113640	我大概应该是849条
113640	114300	多了一条
114300	115240	所以它还在同步
115240	116460	这个完全是免费的
116460	119020	所以不需要钱
119020	120640	然后稍等一下
120640	122660	大概849条
122660	123660	然后给我们导出
123660	124760	导出完了之后
124760	126340	我们可以放到Glock
126340	128040	帮我们去筛选选期
128040	131280	然后你去收藏的一些分析
131280	134160	然后你看看你到底喜欢哪个博主
134160	136060	你收藏了博主的哪些
136060	138300	那你是不是要考虑把它
138300	140020	是不是它每条推文
140020	141740	你给它加一个通知
141740	144040	你都收藏人家这么多了
144040	146700	你到现在还没有给别人加个通知
146700	148220	你就关注别人的一些
148220	149840	最新内容的产出嘛
149840	150300	稍等
150300	153160	有个问题
153160	154820	我这插件有点问题
154820	156020	还是有些问题的
156020	157500	它会同步失败
157500	158240	也就是
158240	159780	已经同步成功了
159780	161520	刚才已经849条了
161520	161800	好吧
161800	163180	那你可以导出
163180	165140	它还会有时间呢
165140	166220	这个是最新的
166220	168140	然后我刚才尝试了一下
168140	169960	就我把那个1月8号的
169960	171280	昨天尝试的那个
171280	173600	分析我收藏最多的博主排名
173600	174800	分类选题
174800	176600	选出TOP3的收藏
176600	177380	选题排名
177380	178600	另外输出
178600	180760	我最关注和收藏哪些内容
180760	182380	那这个是我自己收藏自己的
182380	183380	所以不用管
183380	184120	不用管
184120	185400	因为我只是为了让
185400	187620	为什么自己收藏自己呢
187620	190740	因为大家会有一个心态
190740	192420	就是你这篇推文
192420	194100	没有人被收藏
194100	195240	没有人被点赞
195240	196280	它就会被
196280	197340	就是被别人
197340	198920	就别人天然不会
198920	200260	不太会产生性了
200260	201840	这是一些心理学的东西
201840	203660	然后这个话
203660	204360	我有些内容
204360	205500	我会自己收藏下来
205500	207140	然后比如说之前的
207140	209900	我的那个提示词100的系列
209900	211380	然后我会收藏下来
211380	214040	然后这些洋溢的
214040	217880	这个它主要是讲那些提示词的
217880	218740	文身图的
218740	221740	然后TOP3的话
221740	224740	最主要是AI工具
224740	225860	AI工具
225860	227140	以技术52尺
227140	228740	那包括一些
228740	229780	其实就是
229780	232740	打厂的那些X增长内容创作的
232740	234100	创业和出海工具的
234100	238380	差不多跟我是关注AI搞X增长出海
238380	240940	跟我的IP的那些差不多
240940	243700	然后我最关注的其实就是AI工具
243700	244900	模型啊
244900	245860	Plant
245860	247220	恶魔泰图像什么
247220	247980	差不多
247980	250700	看来我关注的内容的主题
250700	254020	其实跟我自己创作的那些差不多
254020	255700	除了第三个关注的
255700	259220	我现在我之前5月份大概做出海的网站
259220	261100	但可能最近没他做了
261100	264500	所以他现在应该是最近发的比较少
264780	267820	然后我还关注一些哲学书籍
267820	268860	动革拆解
269100	270220	还有一些收录的
270220	270900	嗯可以
270900	272500	然后你可以持续跟他对话
272500	273460	差不多就这样
