start	end	text
0	880	大家好
880	3740	我今天主要分享一下怎么发帖
3740	7320	以及怎么利用社区去获取一个最大的流量
7320	12620	然后怎么去用好社区大V和你的关注者这三个流量圈
12620	16900	那最好的方式其实就是介绍社区
16900	18380	然后介绍大V
18380	22140	然后介绍你自己的自有的粉丝
22140	25560	那我们这是一个最好的一个方式
25560	29400	就是它可以借助社区大V和你的关注者的流量
29400	31420	那分别来看的话
31420	35200	如果你去只使用社区的话
35200	37740	那你就在这边去选择某一个社区
37740	40440	比如说这里的AI生徒中文区
40440	41820	以及副业有道
41820	43440	比如说什么亿伦公司
43440	45100	还有一些什么跨境电商
45100	46620	类似于这些中文区
46620	50400	然后你在这边去把这个勾选去取消掉
50400	52500	然后它这个推文
52500	54540	它只会发布在社区里面
54540	57900	所以你只能获取到社区的流量
57900	59920	这是一种方式
59920	61120	那还有一种方式
61120	63760	你是介绍大V和你的关注者
63760	67660	比如说你去看某个大V的推文
67660	69620	你去cute它的内容
69620	71740	那report的话它直接转发
71740	73500	就不太能直接弄
73500	76540	不太去不太能带上这个色
76540	78660	比如说一些你的观点啊
78660	79600	类似这样评论
79600	82300	那你用cute发表你自己的评论
82300	84560	发表自己的有增量的价值信息
84560	88180	然后你在这里去发表你的评论
88180	91520	你就可以去介绍大V和你自己的关注者
91520	92940	这两个流量圈子
92940	96580	那还有一种就是你直接发自己的推文
96580	98660	然后这里去选择everybody
98660	104180	然后这个的话其实就是介绍你自有的流量的粉丝
104180	106740	那其实差不多是这样子
106740	109180	就是你去发一条推文
109180	110980	你最好的一个方式
110980	114380	就是你想要达到最大声量的方式
114380	116520	你就是可以借助社区
116520	119220	介绍大V和介绍你的关注者
119220	121280	对大概社区是这样子
121280	123740	那有没有一些好的社区呢
123740	127180	那在x上其实有一些
127180	129300	我们看一下中文的话
129300	133080	其实是中文的话副业有道
133080	134580	他这个人数比较高
134580	135160	7万
135160	138700	然后还有这个超级个体
138700	141460	好像是web3搞fabcoding的
141460	145060	还有投资改变生活的话
145060	148260	是那个财俊搞的
148260	149580	web3的相关的一些
149580	150820	还有个独立开发
150820	151740	这个是2万的
151740	152880	2万粉丝的社群
152880	155740	还有一轮公司宇成的1.8万
155740	159000	他感觉最近感觉维护的不是很多
159000	159660	我感觉
159660	160340	自我感觉
160340	162340	差不多中文的话就这些社区
162340	165760	然后你可以去通过这个去创建你的社区
165760	167760	每个人都可以自己创建自己的社区
167760	171000	但是你得看你自己能不能拉来人
171000	173420	让别人在你的社区里面持续发内容
173420	175220	让他们有一些这样
175220	176620	有一个正向循环吧
176620	179040	然后你在这边可以去搜索社区
179040	181380	比如说你去搜Airpland
181380	184900	但是其实x的这个搜索功能
184900	186040	它还挺烂的
186040	188420	所以不太推荐在这里去搜索
188420	191840	我反而比较喜欢在Glock搜索
191840	193840	比如说我在这边已经弄完了
193840	197340	找到我就是给到他一些AI博主
197340	200080	然后这些AI博主包括的一些社区
200080	203840	然后是需要分享干货和最新资讯的
203840	207340	然后给到我这些这些社区的名字
207340	209080	让他们让我可以加入
209080	210300	然后另外的话
210300	214600	我本来想是通过这个优化x的那个功能
214600	216040	去我去做一个插件
216040	218460	但发现其实x的搜索
218460	220180	本来的基层底层
220180	221360	它其实就不太行
221360	223840	所以我在这个插件的基础之上去做
223840	224760	其实也是不行的
224760	227500	所以我还是更倾向于大家直接去
227500	229760	比如说去直接问
229760	231520	问那个Glock
231520	234220	然后让他给你去推荐一些社区就可以了
234220	236140	那今天差不多就是这样子
236140	237720	然后看一下这里
237720	239760	输出的情况吧
239760	242240	这些博主都是AI领域的x用户
242240	244920	他会给到你一些社区推荐
244920	246900	然后你在没有自己
246900	249740	比如说没有特别想加入的一些社区
249740	251640	然后你可以找一些对标博主
251640	255060	然后你去看看他们所在的那个社区
255060	256220	是怎么一个情况
256220	259560	然后你去然后继续再去扩展吧
259560	261100	嗯稍微等一下
261100	269100	我搜索了他妈帖子
275100	275680	微推
275680	277100	居然叫GPT
281100	283020	嗯真诚是AI社区
283020	283900	二十四万人
283900	286380	微图AGI是飞书的一个社区啊
286380	287700	他在X上应该没有
287700	290580	前两个你还可以让他推荐更多的
290580	292180	那今天差不多就是这样
