start	end	text
0	5060	大家好,今天我们讲一下List和Glock的混合使用
5060	8960	主要是关注我们的对标账号以及筛选信息源
8960	10920	进行每日承包的更新
10920	14560	之前我们其实讲了,我有这一个社区
14560	15560	大家可以加入一下
15560	18380	然后我会把X增长的相关的一些内容
18380	22000	以及一些功能内容,以及一些类似一些技巧
22000	24000	然后我会更新在我社区里面
24000	28760	你再去使用X Pro
28760	30880	那我们开始讲一下
30880	32740	List的话其实是在这边
32740	33700	它有一个List
33700	37400	然后你可以去搜索别人的一个List
37400	39480	比如说你去搜AI的
39480	43580	那这些AI就是别人自己做的一个List
43580	46080	那这个纳瓦奥
46080	50180	然后他自己做的那个AI的一个博主的一个List
50180	53720	然后他的关注了差不多130个博主
53720	58760	然后差不多有15000的订阅这个List的人
58760	62000	那我自己也做了一个在这边
62000	62940	交易生柱
62940	64640	AI Blog List
64640	70360	大概是87个那个海外的一些AI的博主吧
70360	72060	然后现在有68个订阅
72060	75640	那这里其实就这里是你可以自己去创建
75640	78840	去命名你的那个描述
78840	82960	以及你可以决定你是公开的还是私人的
82960	83840	你自己看的
83840	87120	那现在来可以结合Glock
87120	88800	然后去给你做一些推荐
88800	90760	然后我大概下午的时候
90760	94700	有问过一个这个Plant其实挺好的
94700	96740	就你找到宝玉
96740	97980	向阳强木
97980	98620	小户
98620	99180	橘子
99180	101400	这些AI博主所定义的英文博主
101400	102320	AI博主
102320	104280	那需要是分享干货的
104280	106100	并且帮我构建一个List
106100	108220	可以给我一些List的参考
108220	110600	那他对应就找到了宝玉
110600	112620	那对应的是AK
112620	115980	就是现在之前的OpenAI和特斯拉的总监
115980	118020	也就是提出Fabcoding的那个
118020	119660	然后对应向阳强木
119660	122300	这位的话是那个FastAI的
122300	125480	他这个的话是之前类似于Transflow
125480	128460	PYTouch这样的一个框架
128460	129500	深度学习框架
129500	130640	他这个比较
130640	132420	然后对应小户的话
132420	133640	然后就是SIM
133640	135300	他是OpenAI的CEO
135300	137140	然后就是OpenAI的GPT
137140	138720	然后对应橘子的话
138720	140820	他的话这位都是Kalos
140820	143180	其实也是深度学习框架
143180	144660	就是Transflow
144660	145780	Kalos
145780	147600	然后PYTouch
147600	149640	之前还有李牧的MaxNet
149640	152280	那他给我推荐
152280	153620	用了像AGA
153620	154780	而不是NG
154780	155220	对
155220	158440	然后是突然忘了突然忘了
158440	159660	今天还刷到他
159660	162660	他有一个课程中文名字不太记得了
162660	163980	然后这个是Yangli Quinn
163980	166680	就是那个三大那个中奖
166680	169160	那个诺贝尔物理学奖
169160	170020	好像是
171620	173660	然后这个是那个播客的主持人
173660	174560	抱歉卡顿
174560	177900	然后这个的话是那个GAN的发发明者
178780	181140	然后这个的话Stanford的李飞飞
181140	183020	他提出那个世界模型
183020	186640	之前的那个一个图片的一个书记集吧
186640	187300	就是他
187800	188720	他公开的
188720	191940	然后大家可以在上面去训练一些图片的模型
191940	193720	然后相当于是一个Batchmark
193720	195280	然后这个的话是谷歌Dipman的
195280	198240	那还就是他给我推荐的一些List
198440	201880	那其实他在下面也给我推荐了一些其他
201880	203940	就是别人已经做好的一个List
203940	207560	这个是202613个AI Influencer
207560	209180	基本上也是Yangli Quinn
209180	210320	然后这位
210320	213400	然后大家可以进行补充
213400	215020	对差不多这10
216020	217280	13个还是6个吧
217280	219100	然后还有一个的话是比较多的
219100	220600	这是2025版的
220600	222360	有一个你可以去看一下
222900	224400	他这些都给你标注了
224400	226360	这里只弄了9位
226360	227860	然后这个的话是比较多的
227860	228940	这个是12位
228940	230180	好一百位
231700	232400	一百位
232400	234440	然后大家可以关注一下
234440	236140	我觉得这个东西还挺好的
236140	240440	我后面补充到我自己的那个Json AI List里
241100	242900	然后这是一个AI List
243100	246940	然后怎么去做你的AI List
246940	248100	我们举例
248600	249780	比如说NG
249780	252440	我找一个没有加入的吧
252440	254400	我们可以去add
254400	255880	然后去保存
255880	257280	因为我已经加过了
257280	259740	所以他可能这里有点问题
259740	261440	这位我应该没有加过
262040	263120	哦也是加过
263120	265620	嗯找一个没加过的吧
270320	273040	这个来看来这个呢
273280	275320	反正就是这个点保存
275320	277120	我好像这这几位都加过了
277320	280120	然后大概是这样去构建自己的List
280320	282620	那构建List的完了之后呢
282620	283840	其实你的List
283840	286040	他有一个相当于二维码
286040	288580	那这个二维码又可以用Glock使用
288580	291040	那Glock我们去打开他的官网
293040	294380	他有一个Task
