start	end	text
0	2720	一些构建的一些思路
2720	5680	然后让Glock给你做一些推荐
5680	7820	那我这边做了一个插件
7820	10220	可以去帮助大家去做这个事情
10220	12480	今天主要讲应该是插件
12480	13560	个人主页的构计
13560	15460	以及通过去找对标
15460	18040	然后去看他们的Profit
18040	19780	然后去给你一些建议
19780	21460	那大概是这样一个插件
21460	25180	我会在那个评论区放出那个下载链接
25180	29120	然后你可以直接在你的那边的扩展程序
29120	31740	直接把解压后的那个插件夹
31740	32620	可以直接拖动
32620	33660	嗯不是这个
33660	34760	直接拖动就可以了
34760	37680	然后我们来演示一下
37680	41140	那其实先讲一下Profile的这个要素
41140	42320	那其实Profile页面
42320	43900	一个是你的头像
43900	44920	你的头像的话
44920	46120	如果你是AI的
46120	48520	像于你去用一个争论头像
48520	50540	让大家更有一个活能感
50540	52100	那如果你比如说
52100	54400	你在其他平台会有一些
54400	57460	让别人已经印象深刻的一些头像的话
57460	58840	那你可以去保留
58840	60600	然后还有是你的名字
60600	62740	那还有第三部分的话
62740	64420	是你的眼界啊
64420	66760	可以去展现出你的价值
66760	67660	用一句话
67660	72100	比如说多少句话去描述出你过往的一些背景
72100	75120	经历以及你能给别人带来什么
75120	76880	那还有一个比较推荐的
76880	79000	我是用那个LinkBio
79000	80220	你也可以用Link去
80220	81140	但Link去的话
81140	84460	现在的话有点好像我听雨总说
84460	85660	他容易被NB
85660	87760	那你把这个链接放上去之后
87760	90640	别人可以去跳转你的一些自媒体账号
90640	91680	这里是自媒体账号
91680	92420	可以直接跳转
92420	94700	然后你可以在这边去挂上你的
94700	97240	在推文里面去挂上你的公众号的
97240	99480	类似于二维码这样子
99480	102380	然后还可以去跳转你的小红书
102380	104380	这个是直接跳转你的小红书
104380	107180	还有一些就是你可以帮别人去推你的产品
107180	109140	那你也可以挂上你的微信号
109140	113500	那微信号的话可以在也在一些评论区挂上你的二维码
113500	115600	然后别人就可以加过来
115600	116880	那为什么挂这个东西
116880	118600	反正我这边的话
118600	121200	有通过挂这个LinkBio
121200	124780	获取到一些web3的企业培训
124780	125980	那那个培训的话
125980	128140	其实算是算是在AI
128140	129600	可能在培训行业的话
129600	131440	其实还可以的一个价格
131440	132760	差不多是5,000两个小
132760	136320	然后的话这个可以让你就是一个聚合的联系方式
136320	137120	你可以去挂上
137120	139220	那还有一个是你的背景图
139220	140100	那背景图的话
140100	145200	你可以用cavns.com你可以去搜那个推特的banner
145200	146540	然后他有一些模板
146540	148000	你可以去进行一个参考
148000	152180	他如果可以你嫌疑买一些什么类似于会员啊
152180	154240	这些可以用他的一些AI的功能
154240	154880	那这个的话
154880	157520	其实我用那个他的AI的功能
157520	160720	比如说我去描绘一个出海的一个场景
160720	163260	然后这些的话都是用一些图片
163260	165060	然后带文字弄上
165060	167300	所以这个banner图花不了多久
167300	168320	可能10分钟就可能
168320	170880	就我们今天介绍下午就我们的插件
170880	171620	那我这边的话
171620	173160	比如有三个功能
173160	174320	一个是寻找对标
174320	175760	一个是分析当前的profi
175760	178160	那我们可以先分析当前的profi
178160	180760	他会直接去连到你的x
180760	185340	然后去用你的相当于类似于登录的那些那些东西
185340	186840	然后他就可以直接登录了
186840	187600	然后这边的话
187600	190880	他是给到一个glock的一个分析提示词
190880	194180	然后我们会去跳转到glock进行分析
194180	195180	可以直接复制
195180	198280	然后可以根据你的profi页面
198280	201120	然后去让他给到一些建议
201120	203160	那这些定位其实我是一开始做的
203160	205360	就一会再去演示一下这个功能
205360	207820	会在你选完了之后
207820	209860	他就是都会带上你的定位
209860	214100	相当于是一个新手的一个人启动的一个标签吧
214100	215800	比如说你是刚开始做x的
215800	218440	那其实用这个去找一些你的定位
218440	219380	我觉得还是可以的
219380	221540	等下下一个我们再看
221540	223540	比如说寻找对标
223540	224180	重新演
224180	226820	这是这里一个能启动的一个标签
226820	227720	你的身份是什么
227720	229360	你可以也输入自定义
229360	230180	我是程序员
230180	231820	这里只能单选
231820	234120	就这可能后面也可以优化一下
234120	235660	因为你可以是个程序员
235660	237160	也可以是个自由职业
237160	238400	现在问题不大
238400	240540	然后我的是人工智能
240540	243000	我也可能关注一些web3加密货币
243000	243900	然后我可能是存关的
243900	247100	那我通过这个我想去做什么东西
247100	248500	就是建立各种品牌
248500	249840	我想做推广
249840	251180	然后我可能继续分享
251180	253180	然后你是用x做什么
253180	255180	就是你是想建立你的影响力
255180	256440	然后推广你的产品
256440	257520	想独立开发的话
257520	258820	那你就直接完成
258820	260840	那这里就相当于是你的定位
260840	262180	然后通过这个定位
262180	263320	你可以去找对标
263320	264480	这个的话可以直接
264480	266880	这是通过你的定位去出的一些关键词
266880	270020	然后你直接可以去在x上进行搜索
270020	270720	那这个的话
270720	272980	其实就是通过他的搜索功能
272980	275860	去找到一些他的bio里面
275860	277520	跟你相关的一些
277520	280320	就类似于bio里面跟你相关的一些
280320	281400	嗯博主
281400	282900	也就是他找到的
282900	285900	然后这个找你相关的你的定位
285900	286760	关的五个
286760	287640	然后去学习
287640	289000	我们直接可以五个
289000	289800	那边也感兴趣
289800	291640	目标是建立什么东西
291640	294940	然后他会分一些案例里面的
294940	296640	比如说一些用户名的特点啊
296640	297380	bio的机器
297380	298040	用定位
298040	298640	风格
298640	300040	你可能值得学习的地方
300040	300720	那这个的话
300720	303640	其实以后来x的很多新用户
303640	306360	他会觉得就他不知道要做什么东西
306360	309520	那这个也一个对标的一个插件吧
309520	311620	可以帮他可能去有一个认知
311620	314700	找到一些可能觉得不错的一些对标账号
314700	318380	因为一开始可能大家来了之后不知道的赛道能不能做
318380	321300	我就是聊下来很多朋友碰到的一个问题
321300	326520	那通过这一个插件可以让他先找到一些可能感兴趣的博主
326520	328040	让他先关注起来
328040	329580	比如说去看他们内容
329580	333120	然后自己在有一些x上面的一些经验之后
333120	335580	然后去慢慢去找到真正的一些对标
335580	336280	这边的话
336280	337920	去除点画完梗
337920	339660	把我这个梗简化一下
339660	341100	有个花
341100	341800	需要隆络的
341800	343660	因为我这里面是没有websm的
343660	344760	第一行身份
344760	346320	忽略最后才是cta
346320	347860	你看他会给到这样一个建议
347860	350440	分别是用户名人体定位
350440	352800	怎么让你的profile更有影响力
352800	353940	这边他就给到了
353940	355340	这个是ak的
355340	356540	von eving的
356540	358880	这个是飞的都是有点大V
358880	359880	这是独立开发的
359880	360280	你看
360280	362380	第一个是AI大神吧
362380	363540	算是理论牌
363540	364540	然后phazenic
364540	366340	然后独立开发
366340	368080	这个我可能也是个websm的
368080	370180	这是AGI里面的反正常观的
370180	370920	都是websm的
370920	371740	然后他可以给
371740	373480	可以去看一下他们去学习
373480	375480	他们怎么去做他profile
375480	377820	然后这些profile有共同的特点
377820	378360	然后你可以去
378360	379580	今天大概是这样子
379580	380160	我发
