start	end	text
0	4620	昨天大概做了一个manual式的我们的推文的分析
4620	6540	以及会他会给到一些建议
6540	8960	包括你的内容优化
8960	10360	你的发布时间
10360	12960	你在推文发布前都可以给到他
12960	14340	或者你在发布中
14340	15640	你有你的推文链接
15640	17640	也可以直接粘贴给他
17640	20560	那我们来操链一下吧
20560	22540	就是他的一个安装的过程
22540	27120	你可以直接在我的那个aws里面有个链接
27120	29080	你可以直接下下来这个插件
29080	33160	然后我们通过他的一个扩展程序
33160	35160	然后把它安装上去
35160	36560	直接丢录就可以了
36560	40580	然后我自己比较喜欢先把它固定
40580	41840	固定的某一位置
41840	43360	那我们来玩他
43360	45900	这是默认是我的名字
45900	47500	gosell global
47500	50140	那他直接可以打开glock
50140	51100	打开glock
51100	52580	然后你直接可以粘贴
52580	56640	因为他是可以把提示词已经复制过来了
56640	59680	然后你以后可以看到他的提示词是怎么样的
59680	64320	然后账户分析用户画像基于这个去分析内容
64320	67940	那我我现在没有马上要发布的一些推文
67940	70780	我可以直接把我之前的推文链接
70780	73440	这是我今天早上发布的一条推文
73440	75460	那可以直接copy link
75460	78120	那你如果是需要发布前
78120	82560	那你可以直接在这里去进行替换就可以了
82560	84100	然后进行一个输出
84100	88320	这个glock完全是用它官方的
88320	89400	官方的
89400	90660	不需要任何的api
90660	93080	所以就是一个比较很简单吧
93080	96100	其实就给你的提供了一个提示词
96100	100900	那这个提示词是我基于之前的分析了
100900	106380	x现在揭入glock的一个推荐系统的一个相关的一个流程
106380	109100	然后让他在这个维度
109100	110840	就是你的推文
110840	112020	你的用户画像
112020	115280	你的多维度分析的基础之上
115280	116920	给到你的一些优化建议
116920	119100	包括内容以及互动引导
119100	120140	一些风格的建议
120140	122260	以及告诉你发布时间的一些建议
122260	124900	那这些这些效果其实就是跟
124900	127660	因为他本身x的那个推荐算法
127660	128820	现在是揭入glock
128820	131000	所以他的一些建议
131000	134420	你是可以进行一些很大程度上进行一些参考的
134420	136560	那比如说我给到他的
136560	141360	我这边其实就是把一篇youtube的视频
141360	143440	进行了我的风格的一个转译
143440	145800	那看看他的一个建议吧
145800	148500	多维度分析账号画像
148500	149800	这是我自己的画像
149800	151920	那他进行多维度评分
151920	153760	那综合评分内容还是可以的
153760	157160	因为他本身就是一个好的选题嘛
157160	158520	然后有害内容低
158520	162280	因为现在最近可能前段时间他封号
162280	164520	就是可能比如说白嫖什么的
164520	166280	白嫖什么什么账号的
166280	168920	那其实有些是比较容易封号的
168920	171880	那这里他有一些什么病毒传播潜力
171880	172480	可以告诉你
172480	175220	那给到了一个优化建议
175220	176760	那其实这个话题标签
176760	178680	其实目前是没太需要的
178680	180060	因为在x来说的话
180060	182100	其实画题标签不太需要
182100	185300	他确实给到一些内容优化
185300	187060	要精简
187060	188260	因为我没有图片
188260	190960	所以他更希望的是加上一些图片
190960	197700	因为图片现在的x的推荐算法是视频大于图文大于文字的权重啊
197700	198900	权重是这样子
198900	202460	然后他推荐发布时间是8到10点
202460	205900	然后他还分析了我历史的在10点48
205900	207200	早晚高峰比较好
207200	209060	因为AI社区多为上班族
209060	210160	差不多是这样
210160	211700	大家可以玩起来
211700	214080	但是你先去看
214480	215740	写太多的话
215740	217160	我先走
217160	218280	下巴
