start	end	text
0	400	嗯
1600	2240	大家好
2240	6560	今天因为我发现我在做XPayPal的时候
6560	8640	我发现有挺多朋友
8640	12400	他们是做X但是他的增长
12400	17560	但是他们现在连一些目前X的一些功能
17560	19960	或者一些界面的功能他都不太清楚
19960	21600	那我今天会以一个视频
21600	24960	然后来带大家进行一些讲解
24960	27160	那其实X的界面
27160	29320	我们从PC单来说的话
29320	30760	分为4块
30760	32040	一块是左侧
32040	33440	左侧导航栏
33440	35000	分为首页
35000	37000	探索通知信息
37000	37480	glock
37480	39280	那如果你是开的Plymouth家
39280	40480	那就superglock
40480	41160	还有list
41160	41920	还有书签
41920	42840	还有你去
42840	44280	如果没开会员的话
44280	46200	你会有这个Plymouth
46200	48920	让你去开会员这个功能
48920	50160	还有一个个人资料
50160	51280	还有更多
51280	53040	然后还有一个发帖
53040	55600	这样的一个这几个功能键
55600	58280	那中间的话其实分为几块
58280	60600	第一块是中间的内容区
60600	62240	是一个主的时间线
62240	66400	那他你可以去进行这样的滑动去滚动
66400	70040	也就是我们现在常说的推荐
70040	71000	推荐流
71000	73920	那帖子是什么一个情况呢
73920	75680	那我们去刷到一个帖子
75680	77880	我们可以去进行一个展
77880	79200	这是一个帖子区
79200	81640	还有一些这些就是发帖的区域
81640	82920	这里是发帖区域
82920	85720	然后这两个是那个频道
85720	87600	这是给你的推荐流
87600	93600	这是你关注的那个博主的信息流
93600	98040	那这些后面的话其实是用这个社区出来的
98040	101160	这些是社区的相当于帖子集合
101160	102000	给你推荐
102000	103160	那基本上是这样
103160	105920	然后某一个帖子的话
105920	108000	其实是一个是评论
108000	109240	一个是转发
109240	111600	那转发分为repost和quote
111600	113840	它其实repost是直接转发
113840	116360	你不能发表自己的观点
116360	119520	那quote它是可以发表自己的观点
119520	121440	你还可以去点赞
121440	123360	然后你还可以去收藏
123360	124440	收藏的话
124440	129440	你还可以去构建自己的一些文件夹
129440	132600	然后让自己更好的一些收藏
132600	134440	作为一些选题后续
134440	138160	那这第三部分其实是那个右侧
138160	139580	右侧侧边栏
139580	141300	第一部分是搜索框
141300	144840	这些是可以你进行在这个地方进行搜索
144840	148100	这里是今天的发生的一些新闻
148100	149780	也就是类似于趋势
149780	151200	这些都是趋势
151200	153480	然后这些是推荐你关注的
153480	154880	差不多是这几块
154880	156400	然后关键功能
156400	159960	其实只需要知道你去怎么post
159960	164520	这个post它可以去增加你的制服
164520	167240	如果你不是个普利木会员
167240	171460	那它只能限制280个制服
171460	174560	也就是你只能一个简单的
174560	178380	就不能超过280
178380	182060	其实就是它会出来这个的
182060	182580	对
182580	186660	在280个制服的时候
186660	190400	这样如果你没开会员
190400	191780	那只能写这么短
191780	193320	那如果你开了会员
193320	194560	这些都是可以的
194560	195360	但是
198240	202040	当然你也可以带上一些这个内容
202040	203840	是图片视频
203840	207840	那一条的话其实只能做4个
207840	211600	一条post只能做4个媒体
211600	214360	比如说我只能弄4个同样的
214360	215960	这是4个5个
215960	217560	你看它只能弄4个
217560	219480	然后这是一条的post
219480	221840	也就是如果你是这样写的话
221840	223240	你就是一条长文
223240	225840	那如果你再去用这个加号
225840	228240	那这个你又可以
228240	230240	这是一条长slats
230240	232240	这是一条长推
232240	234240	就是类似于这个
234240	236840	它是你这一条整个发出去
236840	239640	它是以评论你这条主推
239640	241120	然后以评论这样方式
241120	242880	然后弄成一个长的slats
242880	244120	也就是一个长推
244120	249000	那还有一些就是你的个人资料编辑
249000	252080	你可以在你的profile页面
252080	255120	你可以去点击你的edit profile
255120	257160	那你可以去改你的名字
257160	258800	你的bio简介
258800	259920	你的location
259920	261240	你这些一称
261240	263320	就一些额外的
263320	266200	你可以定位你的location在哪里
266200	268720	然后你还可以带你自己的网址
268720	270240	这些都可以都可以去做
270240	274160	还有一些类似于一些搜索吧
274160	275240	搜索搜索
275240	276480	你可以去搜索什么呢
276480	278240	你可以搜索用户
278240	280240	比如说中国
280240	281600	中国先生
281600	283320	这是你搜索的那个
283320	284800	然后你可以直接点击
284800	286600	那这边它是人
286600	288120	这边是推文
288120	289640	和中国相关的一些推文
289640	290840	这是搜索
290840	292680	那还有一些设置
292680	293780	设置按钮的话
293780	295780	其实用的比较多的是在这里
295780	296460	mall里面
296460	298080	然后这里有一个设置
298080	300880	那你可以去设置你的账户信息
300880	301920	你的
301920	304600	这是你的创作者收益的地方
304600	306040	可以去做认证
306040	308320	然后这是你的Polymo会议地方
308320	309840	因为我是Polymo家
309840	311420	所以我是superglock
311420	313000	它还有一个article
313000	314200	写文章的
314200	316340	也就是你可以去写一个长文
316340	318320	这里是一个文章
318320	320120	其实跟公众号一样
320120	321480	然后的话
321480	325000	还有设置铃铛通知信息
325000	328700	比如说你去关注一个推就博主
328700	331160	你可以去通过挂铃铛这样的
331160	334660	然后它会在它更新推文
334660	335540	可以加一个
335540	337620	在它更新推文的时候
337620	339180	它会通知给你
339180	341240	它会在这里通知给你
341240	342340	这是你的铃铛的
342340	345100	然后你可以在第一时间里面
345100	347300	去回复他们的推文
347300	348880	或者转发他们推文
348880	350700	第一时间跟大V互动
350700	352900	那还有一些高级功能的话
352900	354360	其实就是superglock
354360	356340	你可以在这里问
356340	358360	问glock一些相关的内容
358360	363400	最近的推荐算法如何
363400	365820	你可以去
365820	368420	这个是开了会员之后才有的功能
368420	370100	Polymo的话它是glock
370100	372680	然后Polymo家的话是superglock
372680	373840	所以这个的话
